[39252.180314] name:swapper/0, pid:[0], state: 0, stack: ffffffff82200000
[39252.180316] name:systemd, pid:[1], state: 1, stack: ffffc90000034000
[39252.180317] name:haveged, pid:[251], state: 1, stack: ffffc90000f64000
[39252.180318] name:systemd-journal, pid:[252], state: 1, stack: ffffc90001384000
[39252.180318] name:systemd-udevd, pid:[253], state: 0, stack: ffffc90001390000
[39252.180319] name:lvmetad, pid:[262], state: 1, stack: ffffc90000f58000
[39252.180320] name:avahi-daemon, pid:[412], state: 1, stack: ffffc90001460000
[39252.180320] name:avahi-daemon, pid:[549], state: 1, stack: ffffc90001374000
[39252.180321] name:crond, pid:[413], state: 1, stack: ffffc9000146c000
[39252.180322] name:dbus-daemon, pid:[414], state: 1, stack: ffffc90001478000
[39252.180323] name:NetworkManager, pid:[415], state: 1, stack: ffffc90001484000
[39252.180323] name:polkitd, pid:[417], state: 1, stack: ffffc9000149c000
[39252.180324] name:systemd-logind, pid:[482], state: 1, stack: ffffc90000f84000
[39252.180325] name:vmtoolsd, pid:[485], state: 1, stack: ffffc900013e0000
[39252.180326] name:sshd, pid:[688], state: 1, stack: ffffc90001068000
[39252.180327] name:sshd, pid:[3452], state: 1, stack: ffffc90001824000
[39252.180327] name:sshd, pid:[3454], state: 1, stack: ffffc9000182c000
[39252.180329] name:bash, pid:[3455], state: 1, stack: ffffc900006e0000
[39252.180329] name:sleep, pid:[7043], state: 1, stack: ffffc9000270c000
[39252.180330] name:lightdm, pid:[690], state: 1, stack: ffffc90001004000
[39252.180331] name:Xorg, pid:[726], state: 1, stack: ffffc90001138000
[39252.180332] name:lightdm, pid:[942], state: 1, stack: ffffc90001128000
[39252.180333] name:xfce4-session, pid:[962], state: 1, stack: ffffc900011a0000
[39252.180334] name:xfwm4, pid:[1027], state: 1, stack: ffffc900010dc000
[39252.180335] name:xfce4-panel, pid:[1036], state: 1, stack: ffffc900012b0000
[39252.180336] name:panel-8-whisker, pid:[1055], state: 1, stack: ffffc90000f08000
[39252.180337] name:panel-6-systray, pid:[1058], state: 1, stack: ffffc900010e4000
[39252.180337] name:panel-9-pulseau, pid:[1059], state: 1, stack: ffffc900010ec000
[39252.180338] name:panel-2-actions, pid:[1062], state: 1, stack: ffffc900011c8000
[39252.180339] name:Thunar, pid:[1044], state: 1, stack: ffffc90000ee0000
[39252.180340] name:xfdesktop, pid:[1052], state: 1, stack: ffffc90000f34000
[39252.180341] name:xfce4-clipman, pid:[1079], state: 1, stack: ffffc9000135c000
[39252.180342] name:blueman-applet, pid:[1084], state: 1, stack: ffffc90001494000
[39252.180342] name:pamac-tray, pid:[1087], state: 1, stack: ffffc900014b4000
[39252.180343] name:xiccd, pid:[1088], state: 1, stack: ffffc900014bc000
[39252.180344] name:nm-applet, pid:[1089], state: 1, stack: ffffc900014dc000
[39252.180345] name:polkit-gnome-au, pid:[1092], state: 1, stack: ffffc900014e4000
[39252.180345] name:msm_notifier, pid:[1093], state: 1, stack: ffffc900014ec000
[39252.180346] name:agent, pid:[1097], state: 1, stack: ffffc900014a4000
[39252.180351] name:applet.py, pid:[1105], state: 1, stack: ffffc90001674000
[39252.180352] name:light-locker, pid:[1126], state: 1, stack: ffffc900016cc000
[39252.180353] name:accounts-daemon, pid:[703], state: 1, stack: ffffc900010bc000
[39252.180354] name:ModemManager, pid:[712], state: 1, stack: ffffc900010fc000
[39252.180355] name:cupsd, pid:[718], state: 1, stack: ffffc9000107c000
[39252.180356] name:bluetoothd, pid:[743], state: 1, stack: ffffc90001178000
[39252.180356] name:systemd, pid:[947], state: 1, stack: ffffc90001130000
[39252.180357] name:(sd-pam), pid:[948], state: 1, stack: ffffc90001168000
[39252.180358] name:dbus-daemon, pid:[968], state: 1, stack: ffffc900011d8000
[39252.180359] name:gvfsd, pid:[971], state: 1, stack: ffffc900011f0000
[39252.180360] name:gvfsd-trash, pid:[1233], state: 1, stack: ffffc900016bc000
[39252.180360] name:gvfsd-fuse, pid:[976], state: 1, stack: ffffc90001118000
[39252.180361] name:at-spi-bus-laun, pid:[1003], state: 1, stack: ffffc90001228000
[39252.180362] name:dbus-daemon, pid:[1009], state: 1, stack: ffffc90001258000
[39252.180363] name:xfconfd, pid:[1011], state: 1, stack: ffffc90001260000
[39252.180364] name:at-spi2-registr, pid:[1017], state: 1, stack: ffffc90001288000
[39252.180365] name:gpg-agent, pid:[1025], state: 1, stack: ffffc900012a0000
[39252.180365] name:pulseaudio, pid:[1043], state: 1, stack: ffffc900013c0000
[39252.180366] name:gsettings-helpe, pid:[1063], state: 1, stack: ffffc900011d0000
[39252.180367] name:xfce4-notifyd, pid:[1129], state: 1, stack: ffffc90001664000
[39252.180368] name:dconf-service, pid:[1141], state: 1, stack: ffffc900016a4000
[39252.180369] name:gvfs-udisks2-vo, pid:[1194], state: 1, stack: ffffc90001200000
[39252.180369] name:gvfs-afc-volume, pid:[1215], state: 1, stack: ffffc9000176c000
[39252.180370] name:gvfs-gphoto2-vo, pid:[1222], state: 1, stack: ffffc900017cc000
[39252.180371] name:gvfs-mtp-volume, pid:[1226], state: 1, stack: ffffc900017f4000
[39252.180372] name:gvfsd-metadata, pid:[1239], state: 1, stack: ffffc90001888000
[39252.180373] name:obexd, pid:[1262], state: 1, stack: ffffc90001c20000
[39252.180373] name:ssh-agent, pid:[1022], state: 1, stack: ffffc90001250000
[39252.180374] name:rtkit-daemon, pid:[1047], state: 1, stack: ffffc90000f00000
[39252.180375] name:vmtoolsd, pid:[1086], state: 1, stack: ffffc900014ac000
[39252.180375] name:xfce4-power-man, pid:[1107], state: 1, stack: ffffc90001684000
[39252.180376] name:colord, pid:[1125], state: 1, stack: ffffc900016fc000
[39252.180377] name:upowerd, pid:[1137], state: 1, stack: ffffc90001444000
[39252.180378] name:udisksd, pid:[1197], state: 1, stack: ffffc90001858000
[39252.180379] name:blueman-tray, pid:[1257], state: 1, stack: ffffc900018a0000
[39252.180380] name:xfsettingsd, pid:[1519], state: 1, stack: ffffc90001434000
[39252.180381] name:sh, pid:[1328], state: 1, stack: ffffc900017ec000
[39252.180381] name:node, pid:[1336], state: 1, stack: ffffc90001878000
[39252.180382] name:node, pid:[3504], state: 1, stack: ffffc900017a4000
[39252.180383] name:cpptools, pid:[3553], state: 1, stack: ffffc90001eec000
[39252.180384] name:node, pid:[3519], state: 1, stack: ffffc90001d9c000
[39252.180385] name:bash, pid:[3571], state: 1, stack: ffffc90001e90000
[39252.180386] name:make, pid:[7639], state: 1, stack: ffffc90002314000
[39252.180387] name:sudo, pid:[7642], state: 1, stack: ffffc9000231c000
[39252.180387] name:insmod, pid:[7643], state: 0, stack: ffffc9000137c000
[39252.180388] name:kthreadd, pid:[2], state: 1, stack: ffffc90000668000
[39252.180389] name:rcu_gp, pid:[3], state: 1026, stack: ffffc90000670000
[39252.180389] name:rcu_par_gp, pid:[4], state: 1026, stack: ffffc90000678000
[39252.180390] name:kworker/0:0H, pid:[6], state: 1026, stack: ffffc90000688000
[39252.180391] name:mm_percpu_wq, pid:[8], state: 1026, stack: ffffc90000698000
[39252.180392] name:ksoftirqd/0, pid:[9], state: 1, stack: ffffc900006a0000
[39252.180393] name:rcu_preempt, pid:[10], state: 1026, stack: ffffc900006a8000
[39252.180393] name:rcu_sched, pid:[11], state: 1026, stack: ffffc900006b0000
[39252.180395] name:rcu_bh, pid:[12], state: 1026, stack: ffffc900006b8000
[39252.180396] name:rcuc/0, pid:[13], state: 1, stack: ffffc900006c0000
[39252.180397] name:rcub/1, pid:[14], state: 1, stack: ffffc900006c8000
[39252.180398] name:migration/0, pid:[15], state: 1, stack: ffffc900006d0000
[39252.180398] name:idle_inject/0, pid:[16], state: 1, stack: ffffc900006d8000
[39252.180399] name:cpuhp/0, pid:[18], state: 1, stack: ffffc90000ae0000
[39252.180400] name:cpuhp/1, pid:[19], state: 1, stack: ffffc90000ae8000
[39252.180400] name:idle_inject/1, pid:[20], state: 1, stack: ffffc90000af0000
[39252.180401] name:migration/1, pid:[21], state: 1, stack: ffffc90000af8000
[39252.180402] name:rcuc/1, pid:[22], state: 1, stack: ffffc90000b00000
[39252.180402] name:ksoftirqd/1, pid:[23], state: 1, stack: ffffc90000b08000
